,MOF,gas,ppm,rep_id,slope,saturation,auc
149,Ni-HHTP,NO,20,0,-0.027724475505084473,-26.437156857589695,-29851.595813053973
150,Ni-HHTP,NO,20,1,-0.02781989971249557,-25.24993042404002,-28624.25703056591
151,Ni-HHTP,NO,20,2,-0.026554513000463943,-26.222150288534024,-29268.741630792054
152,Ni-HHTP,NO,40,0,-0.045992152783106456,-55.58843655870617,-41995.30243598438
153,Ni-HHTP,NO,40,1,-0.05354448749897959,-56.51864898713121,-41438.45490138104
154,Ni-HHTP,NO,40,2,-0.04222953103081393,-49.225225537954785,-34331.10152968537
155,Ni-HHTP,NO,40,3,-0.03566780686746511,-50.28396887351931,-34965.76380712214
156,Ni-HHTP,NO,80,0,-0.1788364288311423,-142.15326935985846,-167187.12031640936
157,Ni-HHTP,NO,80,1,-0.18603627420301802,-144.31689242824393,-176034.00600332735
158,Ni-HHTP,NO,80,2,-0.19212357312558545,-134.9833024525736,-184683.8437939798
159,Ni-HHTP,NO,80,3,-0.196875731676015,-143.82507691379024,-185909.8220567673
160,Zn-HHTP,NO,5,0,-0.23093437985361254,-143.2605632485165,-162051.92575896924
161,Zn-HHTP,NO,5,1,-0.4015041245485652,-256.67896260434395,-287015.2414721189
162,Zn-HHTP,NO,5,2,-0.3968614683250505,-263.02863224007865,-291708.00427965645
163,Zn-HHTP,NO,5,3,-0.13477285478334594,-113.43917586239579,-114054.04567376041
164,Zn-HHTP,NO,10,0,-0.30294942842319006,-178.961554012588,-212383.63026355614
165,Zn-HHTP,NO,10,1,-0.2900596705959263,-172.30650907938053,-204508.3112022826
166,Zn-HHTP,NO,10,2,-0.25553202168263284,-155.91660564431157,-183678.8270782995
167,Zn-HHTP,NO,10,3,-0.10488635184624696,-94.5835211712499,-99098.12755306231
168,Zn-HHTP,NO,10,4,-0.22633033062277094,-130.6842500650203,-156050.4800823279
169,Zn-HHTP,NO,20,0,-1.2245271343069175,-352.8632174871391,-502785.7399599366
170,Zn-HHTP,NO,20,1,-1.1429538501277687,-321.6739981595608,-460963.66503641143
171,Zn-HHTP,NO,20,2,-0.802265530591335,-247.3472687813446,-354196.78227455297
172,Zn-HHTP,NO,20,3,-0.633589235932369,-202.9091940091023,-288053.175910166
173,Zn-HHTP,NO,40,0,-1.756954873058023,-647.5133673002589,-880843.2967179505
