,MOF,gas,ppm,folder,rep_id,batch,slope,saturation,auc,mean,Cu-1,Ni-1,Ni-2,Ni-3,Ni-4,Ni-5,Zn-1
95,Ni-HHTP,SO2,40,batch_2,1,Ni-2,0.34383030688956884,56.086358849049034,79405.98271432685,[31.61566844 46.91513306 53.8031561 ],0.0,0.0,1.0,0.0,0.0,0.0,0.0
96,Ni-HHTP,SO2,40,batch_2,2,Ni-2,0.27083785628642704,57.73831393811614,87903.96740642052,[37.49728881 52.56745646 56.43120803],0.0,0.0,1.0,0.0,0.0,0.0,0.0
97,Ni-HHTP,SO2,80,batch_2,0,Ni-3,0.11395034407710918,45.43347062077563,60635.79347502207,[21.65613501 36.55860294 42.84007195],0.0,0.0,0.0,1.0,0.0,0.0,0.0
98,Ni-HHTP,SO2,80,batch_2,1,Ni-3,0.12025768616409978,46.03519049771684,61724.847730781075,[22.11272254 37.24003762 43.51711746],0.0,0.0,0.0,1.0,0.0,0.0,0.0
99,Ni-HHTP,SO2,80,batch_2,2,Ni-3,0.13119316849351598,45.172323369211774,60788.556567358,[21.84767198 36.6288365  42.83293694],0.0,0.0,0.0,1.0,0.0,0.0,0.0
100,Ni-HHTP,SO2,80,batch_2,3,Ni-3,0.11792839130455827,45.827087233133845,61124.104784144954,[21.72585897 36.89759822 43.24518583],0.0,0.0,0.0,1.0,0.0,0.0,0.0
101,Zn-HHTP,SO2,5,batch_2,0,Zn-1,0.004790760372186483,3.013837466536332,3348.4622278552033,[0.36240249 1.54125879 2.36656504],0.0,0.0,0.0,0.0,0.0,0.0,1.0
102,Zn-HHTP,SO2,5,batch_2,1,Zn-1,0.005189076673549204,2.8631577885885964,3300.7563713577847,[0.5391109  1.72067562 2.53196202],0.0,0.0,0.0,0.0,0.0,0.0,1.0
103,Zn-HHTP,SO2,5,batch_2,2,Zn-1,0.00522073188339139,1.6174397095010815,1568.5900490436939,[-0.07771763  0.60231405  0.99516768],0.0,0.0,0.0,0.0,0.0,0.0,1.0
104,Zn-HHTP,SO2,5,batch_2,3,Zn-1,0.004844822334162705,1.7916521839879538,1943.47122653806,[-0.04389028  0.7965768   1.2552678 ],0.0,0.0,0.0,0.0,0.0,0.0,1.0
105,Zn-HHTP,SO2,10,batch_2,0,Zn-1,0.00466215422466032,3.4309558971604512,3322.4452473368365,[0.7740846  1.99583389 2.76751951],0.0,0.0,0.0,0.0,0.0,0.0,1.0
106,Zn-HHTP,SO2,10,batch_2,1,Zn-1,0.004976091493649024,3.672159520390446,3720.5119407598218,[0.87979612 2.24968079 3.07141103],0.0,0.0,0.0,0.0,0.0,0.0,1.0
107,Zn-HHTP,SO2,10,batch_2,2,Zn-1,0.005609311210858033,3.1872155417483103,3270.9014091722916,[0.78941124 1.98224939 2.67989591],0.0,0.0,0.0,0.0,0.0,0.0,1.0
108,Zn-HHTP,SO2,10,batch_2,3,Zn-1,0.005057494181188396,3.2304510727430693,3383.3064066976203,[0.77270651 2.03447549 2.83159079],0.0,0.0,0.0,0.0,0.0,0.0,1.0
109,Zn-HHTP,SO2,20,batch_2,0,Zn-1,0.02845874518436866,14.76176023328199,18346.109799481892,[ 5.38446618 11.2670526  13.92439197],0.0,0.0,0.0,0.0,0.0,0.0,1.0
110,Zn-HHTP,SO2,20,batch_2,1,Zn-1,0.030287219517331418,15.074204853006698,18905.13304207314,[ 5.6959516  11.5831965  14.22833716],0.0,0.0,0.0,0.0,0.0,0.0,1.0
111,Zn-HHTP,SO2,20,batch_2,2,Zn-1,0.027573963659194678,14.688588638419183,18041.58466479819,[ 5.23919244 11.01662913 13.81264783],0.0,0.0,0.0,0.0,0.0,0.0,1.0
112,Zn-HHTP,SO2,20,batch_2,3,Zn-1,0.029948410032825883,14.810441170061836,18090.33605866773,[ 5.16862887 11.05926251 13.9218753 ],0.0,0.0,0.0,0.0,0.0,0.0,1.0
113,Zn-HHTP,SO2,40,batch_2,0,Zn-1,0.0688613292048794,22.926404486907472,32250.21447275547,[11.51453828 19.97253109 22.26060178],0.0,0.0,0.0,0.0,0.0,0.0,1.0
114,Zn-HHTP,SO2,40,batch_2,1,Zn-1,0.07045065969585894,23.24535653523039,32885.88038505276,[11.82634669 20.39594    22.58468087],0.0,0.0,0.0,0.0,0.0,0.0,1.0
115,Zn-HHTP,SO2,40,batch_2,2,Zn-1,0.07160730989870179,23.559191204629727,33399.02847935572,[11.98854518 20.73029262 22.94341152],0.0,0.0,0.0,0.0,0.0,0.0,1.0
116,Zn-HHTP,SO2,40,batch_2,3,Zn-1,0.06803013142851208,23.585071624393105,33094.88302831493,[11.64698676 20.5950679  22.9135069 ],0.0,0.0,0.0,0.0,0.0,0.0,1.0
117,Zn-HHTP,SO2,80,batch_2,0,Zn-1,0.10424949229323008,23.938719865834152,34723.5089957875,[13.74084869 20.91484809 23.21336205],0.0,0.0,0.0,0.0,0.0,0.0,1.0
118,Zn-HHTP,SO2,80,batch_2,1,Zn-1,0.10534949994439098,23.92482475223592,34844.976761816855,[13.91318066 20.95669204 23.20140143],0.0,0.0,0.0,0.0,0.0,0.0,1.0
119,Zn-HHTP,SO2,80,batch_2,2,Zn-1,0.10342527494939782,23.877667693552045,34423.83233975791,[13.50155315 20.71441121 23.15361342],0.0,0.0,0.0,0.0,0.0,0.0,1.0
120,Zn-HHTP,SO2,80,batch_2,3,Zn-1,0.09965346459576055,23.272873638219686,33524.51583700905,[13.11256199 20.19988577 22.55844038],0.0,0.0,0.0,0.0,0.0,0.0,1.0
121,Cu-HHTP,H2S_SO2,4+36,mixtures,0,Cu-1,0.10625033819482178,94.27331124169059,102612.24121624495,[14.14684324 65.38784514 91.48558138],1.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Cu-HHTP,H2S_SO2,4+36,mixtures,1,Cu-1,0.09484377785035228,94.4436112350165,97697.7476064064,[12.85986425 59.81812081 90.15109617],1.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Cu-HHTP,H2S_SO2,4+36,mixtures,2,Cu-1,0.12939604763736132,93.57621661251461,108939.71799834263,[16.90368623 72.87558035 91.78720809],1.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Cu-HHTP,H2S_SO2,4+36,mixtures,3,Cu-1,0.12057441186570633,94.63806986064178,106918.56014545554,[15.23437956 70.2761453  92.68714548],1.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Cu-HHTP,H2S_SO2,4+36,mixtures,4,Cu-1,0.10968857253385488,94.85085823207109,103636.64147513147,[14.52057796 66.22354063 91.98362306],1.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Cu-HHTP,H2S_SO2,5+5,mixtures,0,Cu-1,0.10227581678904019,90.81827103495492,108990.10744202291,[23.05557261 70.53933008 88.053939  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Cu-HHTP,H2S_SO2,5+5,mixtures,1,Cu-1,0.11248763671910528,91.34637828445426,113105.8688721255,[25.539072   73.92263832 89.04656878],1.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Cu-HHTP,H2S_SO2,5+5,mixtures,2,Cu-1,0.08828743611532965,89.08691016358415,100676.80162701974,[19.069323   63.58950203 85.13482131],1.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Cu-HHTP,H2S_SO2,5+5,mixtures,3,Cu-1,0.07174062733006632,81.88035488178724,87008.15044902259,[16.00665347 53.32528062 75.68097438],1.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Cu-HHTP,H2S_SO2,9+13,mixtures,0,Cu-1,0.3774869242092385,92.27975724507554,143632.48099213946,[45.06694097 87.89638523 91.43076756],1.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Cu-HHTP,H2S_SO2,9+13,mixtures,1,Cu-1,0.290866381139404,97.57702210138255,149411.3159048387,[40.86310539 94.96135383 97.16834557],1.0,0.0,0.0,0.0,0.0,0.0,0.0
